Question	Answer	Source
why not	generaltalk.confirmation.yes	Editorial
please do	generaltalk.confirmation.yes	Editorial
sure is	generaltalk.confirmation.yes	Editorial
I agree	generaltalk.confirmation.yes	Editorial
I don't mind	generaltalk.confirmation.yes	Editorial
certainly	generaltalk.confirmation.yes	Editorial
exactly	generaltalk.confirmation.yes	Editorial
yes I agree	generaltalk.confirmation.yes	Editorial
I think so	generaltalk.confirmation.yes	Editorial
yes it is	generaltalk.confirmation.yes	Editorial
right	generaltalk.confirmation.yes	Editorial
okay then	generaltalk.confirmation.yes	Editorial
yes of course	generaltalk.confirmation.yes	Editorial
yes I do	generaltalk.confirmation.yes	Editorial
that s okay	generaltalk.confirmation.yes	Editorial
I do	generaltalk.confirmation.yes	Editorial
yup	generaltalk.confirmation.yes	Editorial
ya	generaltalk.confirmation.yes	Editorial
oh yes	generaltalk.confirmation.yes	Editorial
yes sure	generaltalk.confirmation.yes	Editorial
obviously	generaltalk.confirmation.yes	Editorial
k	generaltalk.confirmation.yes	Editorial
sure why not	generaltalk.confirmation.yes	Editorial
yeah right	generaltalk.confirmation.yes	Editorial
yeah of course	generaltalk.confirmation.yes	Editorial
absolutely	generaltalk.confirmation.yes	Editorial
yes indeed	generaltalk.confirmation.yes	Editorial
ok sure	generaltalk.confirmation.yes	Editorial
ok yes	generaltalk.confirmation.yes	Editorial
yes correct	generaltalk.confirmation.yes	Editorial
ok thank you	generaltalk.confirmation.yes	Editorial
sure thing	generaltalk.confirmation.yes	Editorial
ye	generaltalk.confirmation.yes	Editorial
confirm	generaltalk.confirmation.yes	Editorial
yep	generaltalk.confirmation.yes	Editorial
looks good	generaltalk.confirmation.yes	Editorial
yes thank you	generaltalk.confirmation.yes	Editorial
definitely	generaltalk.confirmation.yes	Editorial
yes right	generaltalk.confirmation.yes	Editorial
yes I would like to	generaltalk.confirmation.yes	Editorial
alrighty	generaltalk.confirmation.yes	Editorial
yes definitely	generaltalk.confirmation.yes	Editorial
yeh	generaltalk.confirmation.yes	Editorial
yes it is correct	generaltalk.confirmation.yes	Editorial
yeah that's right	generaltalk.confirmation.yes	Editorial
ok you can	generaltalk.confirmation.yes	Editorial
yap	generaltalk.confirmation.yes	Editorial
yes you may	generaltalk.confirmation.yes	Editorial
confirmed	generaltalk.confirmation.yes	Editorial
of course why not	generaltalk.confirmation.yes	Editorial
yes that's fine	generaltalk.confirmation.yes	Editorial
affirmative	generaltalk.confirmation.yes	Editorial
yeah go ahead	generaltalk.confirmation.yes	Editorial
yeah I'm sure	generaltalk.confirmation.yes	Editorial
okay sounds good	generaltalk.confirmation.yes	Editorial
okay that's fine	generaltalk.confirmation.yes	Editorial
yeah exactly	generaltalk.confirmation.yes	Editorial
that is ok	generaltalk.confirmation.yes	Editorial
this is correct	generaltalk.confirmation.yes	Editorial
ok go ahead	generaltalk.confirmation.yes	Editorial
yes this is correct	generaltalk.confirmation.yes	Editorial
nevermind its okay	generaltalk.confirmation.yes	Editorial
okey	generaltalk.confirmation.yes	Editorial
yes for sure	generaltalk.confirmation.yes	Editorial
all right	generaltalk.confirmation.yes	Editorial
are you sure	generaltalk.agent.sure	Editorial
are you sure right now	generaltalk.agent.sure	Editorial
are you sure today	generaltalk.agent.sure	Editorial
are you sure now	generaltalk.agent.sure	Editorial
are you sure tonight	generaltalk.agent.sure	Editorial
why aren't you talking to me	generaltalk.agent.talk_to_me	Editorial
do you want to chat with me	generaltalk.agent.talk_to_me	Editorial
will you talk to me	generaltalk.agent.talk_to_me	Editorial
talk to me	generaltalk.agent.talk_to_me	Editorial
are you going to talk to me	generaltalk.agent.talk_to_me	Editorial
are you talking to me	generaltalk.agent.talk_to_me	Editorial
can you chat with me	generaltalk.agent.talk_to_me	Editorial
can you speak with me	generaltalk.agent.talk_to_me	Editorial
can you talk to me	generaltalk.agent.talk_to_me	Editorial
can you talk with me	generaltalk.agent.talk_to_me	Editorial
say	generaltalk.agent.talk_to_me	Editorial
talk	generaltalk.agent.talk_to_me	Editorial
chat with me	generaltalk.agent.talk_to_me	Editorial
just chat with me	generaltalk.agent.talk_to_me	Editorial
speak to me	generaltalk.agent.talk_to_me	Editorial
speak with me	generaltalk.agent.talk_to_me	Editorial
talk with me	generaltalk.agent.talk_to_me	Editorial
why don't you talk to me	generaltalk.agent.talk_to_me	Editorial
you can talk to me	generaltalk.agent.talk_to_me	Editorial
are you there	generaltalk.agent.there	Editorial
you are there	generaltalk.agent.there	Editorial
are you near me	generaltalk.agent.there	Editorial
are you here	generaltalk.agent.there	Editorial
are you still there	generaltalk.agent.there	Editorial
you are here	generaltalk.agent.there	Editorial
you still there	generaltalk.agent.there	Editorial
are you still here	generaltalk.agent.there	Editorial
pretty bad	generaltalk.appraisal.bad	Editorial
not good enough	generaltalk.appraisal.bad	Editorial
that was lame	generaltalk.appraisal.bad	Editorial
that was terrible	generaltalk.appraisal.bad	Editorial
it is bad	generaltalk.appraisal.bad	Editorial
that's bad	generaltalk.appraisal.bad	Editorial
this is bad	generaltalk.appraisal.bad	Editorial
not good	generaltalk.appraisal.bad	Editorial
I'm afraid it's bad	generaltalk.appraisal.bad	Editorial
no it's bad	generaltalk.appraisal.bad	Editorial
that was awful	generaltalk.appraisal.bad	Editorial
bad	generaltalk.appraisal.bad	Editorial
so bad	generaltalk.appraisal.bad	Editorial
this is too bad	generaltalk.appraisal.bad	Editorial
terrible	generaltalk.appraisal.bad	Editorial
horrible	generaltalk.appraisal.bad	Editorial
horrific	generaltalk.appraisal.bad	Editorial
abysmal	generaltalk.appraisal.bad	Editorial
it's bad	generaltalk.appraisal.bad	Editorial
no good	generaltalk.appraisal.bad	Editorial
that was bad	generaltalk.appraisal.bad	Editorial
that was horrible	generaltalk.appraisal.bad	Editorial
that's lame	generaltalk.appraisal.bad	Editorial
that's not good	generaltalk.appraisal.bad	Editorial
that's terrible	generaltalk.appraisal.bad	Editorial
that's too bad	generaltalk.appraisal.bad	Editorial
this is not good	generaltalk.appraisal.bad	Editorial
too bad	generaltalk.appraisal.bad	Editorial
very bad	generaltalk.appraisal.bad	Editorial
bad girl	generaltalk.appraisal.bad	Editorial
it's not good	generaltalk.appraisal.bad	Editorial
not so good	generaltalk.appraisal.bad	Editorial
it's very bad	generaltalk.appraisal.bad	Editorial
it's too bad	generaltalk.appraisal.bad	Editorial
that's not good enough	generaltalk.appraisal.bad	Editorial
well too bad	generaltalk.appraisal.bad	Editorial
bad very bad	generaltalk.appraisal.bad	Editorial
it's so bad	generaltalk.appraisal.bad	Editorial
really bad	generaltalk.appraisal.bad	Editorial
it's really bad	generaltalk.appraisal.bad	Editorial
bad idea	generaltalk.appraisal.bad	Editorial
that is bad	generaltalk.appraisal.bad	Editorial
that was not good	generaltalk.appraisal.bad	Editorial
it's not so good	generaltalk.appraisal.bad	Editorial
not a good one	generaltalk.appraisal.bad	Editorial
oh that's not good	generaltalk.appraisal.bad	Editorial
not too good	generaltalk.appraisal.bad	Editorial
so lame	generaltalk.appraisal.bad	Editorial
that's really bad	generaltalk.appraisal.bad	Editorial
it is too bad	generaltalk.appraisal.bad	Editorial
bad really bad	generaltalk.appraisal.bad	Editorial
so cool	generaltalk.appraisal.good	Editorial
cool	generaltalk.appraisal.good	Editorial
that is good	generaltalk.appraisal.good	Editorial
glad to hear that	generaltalk.appraisal.good	Editorial
that's very nice of you	generaltalk.appraisal.good	Editorial
terrific	generaltalk.appraisal.good	Editorial
it's amazing	generaltalk.appraisal.good	Editorial
that's awesome	generaltalk.appraisal.good	Editorial
perfect	generaltalk.appraisal.good	Editorial
excellent	generaltalk.appraisal.good	Editorial
that's great	generaltalk.appraisal.good	Editorial
it's good	generaltalk.appraisal.good	Editorial
it's great	generaltalk.appraisal.good	Editorial
fine	generaltalk.appraisal.good	Editorial
good	generaltalk.appraisal.good	Editorial
nice	generaltalk.appraisal.good	Editorial
that's fine	generaltalk.appraisal.good	Editorial
very good	generaltalk.appraisal.good	Editorial
amazing	generaltalk.appraisal.good	Editorial
fantastic	generaltalk.appraisal.good	Editorial
great	generaltalk.appraisal.good	Editorial
good very good	generaltalk.appraisal.good	Editorial
that's very good	generaltalk.appraisal.good	Editorial
really good	generaltalk.appraisal.good	Editorial
it is fine	generaltalk.appraisal.good	Editorial
it is good	generaltalk.appraisal.good	Editorial
it's perfect	generaltalk.appraisal.good	Editorial
much better	generaltalk.appraisal.good	Editorial
not bad	generaltalk.appraisal.good	Editorial
not too bad	generaltalk.appraisal.good	Editorial
it's very good	generaltalk.appraisal.good	Editorial
marvelous	generaltalk.appraisal.good	Editorial
that's nice	generaltalk.appraisal.good	Editorial
pleasant	generaltalk.appraisal.good	Editorial
pretty good	generaltalk.appraisal.good	Editorial
really nice	generaltalk.appraisal.good	Editorial
splendid	generaltalk.appraisal.good	Editorial
straight	generaltalk.appraisal.good	Editorial
super	generaltalk.appraisal.good	Editorial
super fantastic	generaltalk.appraisal.good	Editorial
sweet	generaltalk.appraisal.good	Editorial
really well	generaltalk.appraisal.good	Editorial
very well	generaltalk.appraisal.good	Editorial
that is awesome	generaltalk.appraisal.good	Editorial
that is nice	generaltalk.appraisal.good	Editorial
that is wonderful	generaltalk.appraisal.good	Editorial
that was amazing	generaltalk.appraisal.good	Editorial
that was awesome	generaltalk.appraisal.good	Editorial
that was cute	generaltalk.appraisal.good	Editorial
that was pretty good	generaltalk.appraisal.good	Editorial
that was very good	generaltalk.appraisal.good	Editorial
that's a good idea	generaltalk.appraisal.good	Editorial
that's a good thing	generaltalk.appraisal.good	Editorial
that's amazing	generaltalk.appraisal.good	Editorial
that's awesome thank you	generaltalk.appraisal.good	Editorial
that's better	generaltalk.appraisal.good	Editorial
that's cute	generaltalk.appraisal.good	Editorial
that's fantastic	generaltalk.appraisal.good	Editorial
that's much better	generaltalk.appraisal.good	Editorial
that's nice of you	generaltalk.appraisal.good	Editorial
that's not bad	generaltalk.appraisal.good	Editorial
that's perfect	generaltalk.appraisal.good	Editorial
that's pretty good	generaltalk.appraisal.good	Editorial
that's really good	generaltalk.appraisal.good	Editorial
that's really nice	generaltalk.appraisal.good	Editorial
that's sweet of you	generaltalk.appraisal.good	Editorial
that's very nice	generaltalk.appraisal.good	Editorial
that's wonderful	generaltalk.appraisal.good	Editorial
this is awesome	generaltalk.appraisal.good	Editorial
this is good	generaltalk.appraisal.good	Editorial
this is great	generaltalk.appraisal.good	Editorial
very nice	generaltalk.appraisal.good	Editorial
very then	generaltalk.appraisal.good	Editorial
wonderful	generaltalk.appraisal.good	Editorial
I'm glad to hear that	generaltalk.appraisal.good	Editorial
ok good	generaltalk.appraisal.good	Editorial
good for you	generaltalk.appraisal.good	Editorial
good to know	generaltalk.appraisal.good	Editorial
glad to hear it	generaltalk.appraisal.good	Editorial
so good	generaltalk.appraisal.good	Editorial
so sweet of you	generaltalk.appraisal.good	Editorial
it was good	generaltalk.appraisal.good	Editorial
oh well	generaltalk.appraisal.good	Editorial
good thing	generaltalk.appraisal.good	Editorial
that was good	generaltalk.appraisal.good	Editorial
it's awesome	generaltalk.appraisal.good	Editorial
okay good	generaltalk.appraisal.good	Editorial
no it's okay	generaltalk.appraisal.good	Editorial
that's fine	generaltalk.appraisal.good	Editorial
no worries	generaltalk.appraisal.no_problem	Editorial
no probs	generaltalk.appraisal.no_problem	Editorial
no problem	generaltalk.appraisal.no_problem	Editorial
there's no problem	generaltalk.appraisal.no_problem	Editorial
sure no problem	generaltalk.appraisal.no_problem	Editorial
no problem about that	generaltalk.appraisal.no_problem	Editorial
don't worry	generaltalk.appraisal.no_problem	Editorial
don't worry there's no problem	generaltalk.appraisal.no_problem	Editorial
you helped a lot thank you	generaltalk.appraisal.thank_you	Editorial
appreciate your help	generaltalk.appraisal.thank_you	Editorial
cheers	generaltalk.appraisal.thank_you	Editorial
thank you	generaltalk.appraisal.thank_you	Editorial
thanks	generaltalk.appraisal.thank_you	Editorial
thanks a lot	generaltalk.appraisal.thank_you	Editorial
terrific thank you	generaltalk.appraisal.thank_you	Editorial
great thank you	generaltalk.appraisal.thank_you	Editorial
thanks so much	generaltalk.appraisal.thank_you	Editorial
thank you so much	generaltalk.appraisal.thank_you	Editorial
thanks for your help	generaltalk.appraisal.thank_you	Editorial
thank you for your help	generaltalk.appraisal.thank_you	Editorial
nice thank you	generaltalk.appraisal.thank_you	Editorial
I appreciate it	generaltalk.appraisal.thank_you	Editorial
I thank you	generaltalk.appraisal.thank_you	Editorial
thank you that will be all	generaltalk.appraisal.thank_you	Editorial
thanks buddy	generaltalk.appraisal.thank_you	Editorial
thanks love	generaltalk.appraisal.thank_you	Editorial
thank you my friend	generaltalk.appraisal.thank_you	Editorial
well thanks	generaltalk.appraisal.thank_you	Editorial
very good thank you	generaltalk.appraisal.thank_you	Editorial
good thanks	generaltalk.appraisal.thank_you	Editorial
thanks again	generaltalk.appraisal.thank_you	Editorial
thank you again	generaltalk.appraisal.thank_you	Editorial
all thank you	generaltalk.appraisal.thank_you	Editorial
alright thank you	generaltalk.appraisal.thank_you	Editorial
alright thanks	generaltalk.appraisal.thank_you	Editorial
no thank you that's all	generaltalk.appraisal.thank_you	Editorial
perfect thank you	generaltalk.appraisal.thank_you	Editorial
so nice of you	generaltalk.appraisal.thank_you	Editorial
well thank you	generaltalk.appraisal.thank_you	Editorial
thnx	generaltalk.appraisal.thank_you	Editorial
thanx	generaltalk.appraisal.thank_you	Editorial
that's my pleasure	generaltalk.appraisal.welcome	Editorial
my pleasure	generaltalk.appraisal.welcome	Editorial
anytime	generaltalk.appraisal.welcome	Editorial
welcome	generaltalk.appraisal.welcome	Editorial
you're welcome	generaltalk.appraisal.welcome	Editorial
sure welcome	generaltalk.appraisal.welcome	Editorial
welcome here	generaltalk.appraisal.welcome	Editorial
you're so welcome	generaltalk.appraisal.welcome	Editorial
anything you want	generaltalk.appraisal.welcome	Editorial
good job	generaltalk.appraisal.well_done	Editorial
great job	generaltalk.appraisal.well_done	Editorial
way to go	generaltalk.appraisal.well_done	Editorial
well done	generaltalk.appraisal.well_done	Editorial
nice work	generaltalk.appraisal.well_done	Editorial
great work	generaltalk.appraisal.well_done	Editorial
amazing work	generaltalk.appraisal.well_done	Editorial
bravo	generaltalk.appraisal.well_done	Editorial
good work	generaltalk.appraisal.well_done	Editorial
cancel	generaltalk.confirmation.cancel	Editorial
abort	generaltalk.confirmation.cancel	Editorial
annul	generaltalk.confirmation.cancel	Editorial
cancel it	generaltalk.confirmation.cancel	Editorial
cancel request	generaltalk.confirmation.cancel	Editorial
cancelled	generaltalk.confirmation.cancel	Editorial
dismiss	generaltalk.confirmation.cancel	Editorial
dismissed	generaltalk.confirmation.cancel	Editorial
disregard	generaltalk.confirmation.cancel	Editorial
disregard that	generaltalk.confirmation.cancel	Editorial
skip	generaltalk.confirmation.cancel	Editorial
skip it	generaltalk.confirmation.cancel	Editorial
cancel everything	generaltalk.confirmation.cancel	Editorial
cancel all	generaltalk.confirmation.cancel	Editorial
forget about it	generaltalk.confirmation.cancel	Editorial
forget	generaltalk.confirmation.cancel	Editorial
don't do that	generaltalk.confirmation.cancel	Editorial
stop	generaltalk.confirmation.cancel	Editorial
just forget it	generaltalk.confirmation.cancel	Editorial
forget that	generaltalk.confirmation.cancel	Editorial
discard	generaltalk.confirmation.cancel	Editorial
forget this	generaltalk.confirmation.cancel	Editorial
just forget about it	generaltalk.confirmation.cancel	Editorial
forget about that	generaltalk.confirmation.cancel	Editorial
i said cancel	generaltalk.confirmation.cancel	Editorial
just cancel it	generaltalk.confirmation.cancel	Editorial
nothing cancel	generaltalk.confirmation.cancel	Editorial
just stop it	generaltalk.confirmation.cancel	Editorial
no cancel cancel	generaltalk.confirmation.cancel	Editorial
no just cancel	generaltalk.confirmation.cancel	Editorial
cancel my request	generaltalk.confirmation.cancel	Editorial
can you cancel that	generaltalk.confirmation.cancel	Editorial
cancel all that	generaltalk.confirmation.cancel	Editorial
cancel this request	generaltalk.confirmation.cancel	Editorial
no cancel this	generaltalk.confirmation.cancel	Editorial
no cancel everything	generaltalk.confirmation.cancel	Editorial
no stop	generaltalk.confirmation.cancel	Editorial
just forget	generaltalk.confirmation.cancel	Editorial
i want to cancel	generaltalk.confirmation.cancel	Editorial
nevermind forget about it	generaltalk.confirmation.cancel	Editorial
no just cancel it	generaltalk.confirmation.cancel	Editorial
nothing just forget it	generaltalk.confirmation.cancel	Editorial
i said cancel it	generaltalk.confirmation.cancel	Editorial
cancel the whole thing	generaltalk.confirmation.cancel	Editorial
can you cancel it	generaltalk.confirmation.cancel	Editorial
so cancel	generaltalk.confirmation.cancel	Editorial
i said forget it	generaltalk.confirmation.cancel	Editorial
cancel all this	generaltalk.confirmation.cancel	Editorial
forget it nevermind	generaltalk.confirmation.cancel	Editorial
stop it	generaltalk.confirmation.cancel	Editorial
i want to cancel it	generaltalk.confirmation.cancel	Editorial
i would like to cancel	generaltalk.confirmation.cancel	Editorial
now cancel	generaltalk.confirmation.cancel	Editorial
cancel now	generaltalk.confirmation.cancel	Editorial
sorry cancel	generaltalk.confirmation.cancel	Editorial
cancel that one	generaltalk.confirmation.cancel	Editorial
skip skip skip	generaltalk.confirmation.cancel	Editorial
cancel it cancel it	generaltalk.confirmation.cancel	Editorial
cancel that cancel that	generaltalk.confirmation.cancel	Editorial
do nothing	generaltalk.confirmation.cancel	Editorial
I said cancel cancel	generaltalk.confirmation.cancel	Editorial
but can you cancel it	generaltalk.confirmation.cancel	Editorial
how about no	generaltalk.confirmation.no	Editorial
don t have a sense	generaltalk.confirmation.no	Editorial
no	generaltalk.confirmation.no	Editorial
don't	generaltalk.confirmation.no	Editorial
I don't want that	generaltalk.confirmation.no	Editorial
I disagree	generaltalk.confirmation.no	Editorial
disagree	generaltalk.confirmation.no	Editorial
I don't want	generaltalk.confirmation.no	Editorial
not interested	generaltalk.confirmation.no	Editorial
I don't think so	generaltalk.confirmation.no	Editorial
no way	generaltalk.confirmation.no	Editorial
no it isn't	generaltalk.confirmation.no	Editorial
no I don't	generaltalk.confirmation.no	Editorial
I'm not	generaltalk.confirmation.no	Editorial
na	generaltalk.confirmation.no	Editorial
no that's fine thank you	generaltalk.confirmation.no	Editorial
never	generaltalk.confirmation.no	Editorial
I said no	generaltalk.confirmation.no	Editorial
of course not	generaltalk.confirmation.no	Editorial
nah	generaltalk.confirmation.no	Editorial
no tanks	generaltalk.confirmation.no	Editorial
no never	generaltalk.confirmation.no	Editorial
no need	generaltalk.confirmation.no	Editorial
no thanks	generaltalk.confirmation.no	Editorial
no sorry	generaltalk.confirmation.no	Editorial
do not	generaltalk.confirmation.no	Editorial
not today	generaltalk.confirmation.no	Editorial
no it's not	generaltalk.confirmation.no	Editorial
absolutely not	generaltalk.confirmation.no	Editorial
not that	generaltalk.confirmation.no	Editorial
nooo	generaltalk.confirmation.no	Editorial
nope	generaltalk.confirmation.no	Editorial
I don't want to	generaltalk.confirmation.no	Editorial
no I would not	generaltalk.confirmation.no	Editorial
let 's not	generaltalk.confirmation.no	Editorial
not needed	generaltalk.confirmation.no	Editorial
not this time	generaltalk.confirmation.no	Editorial
no don't do that	generaltalk.confirmation.no	Editorial
thanks but no thanks	generaltalk.confirmation.no	Editorial
no that's wrong	generaltalk.confirmation.no	Editorial
not this	generaltalk.confirmation.no	Editorial
definitely not	generaltalk.confirmation.no	Editorial
not at this time	generaltalk.confirmation.no	Editorial
not exactly	generaltalk.confirmation.no	Editorial
no don't	generaltalk.confirmation.no	Editorial
not really no	generaltalk.confirmation.no	Editorial
no thank you not right now	generaltalk.confirmation.no	Editorial
actually no	generaltalk.confirmation.no	Editorial
no leave it	generaltalk.confirmation.no	Editorial
sorry no	generaltalk.confirmation.no	Editorial
no incorrect	generaltalk.confirmation.no	Editorial
nope sorry	generaltalk.confirmation.no	Editorial
I say no	generaltalk.confirmation.no	Editorial
not really	generaltalk.confirmation.no	Editorial
not right now thanks	generaltalk.confirmation.no	Editorial
I think no	generaltalk.confirmation.no	Editorial
absolutely no	generaltalk.confirmation.no	Editorial
no actually	generaltalk.confirmation.no	Editorial
apparently not	generaltalk.confirmation.no	Editorial
no do not	generaltalk.confirmation.no	Editorial
no just no	generaltalk.confirmation.no	Editorial
no but thank you	generaltalk.confirmation.no	Editorial
no need thanks	generaltalk.confirmation.no	Editorial
no thank you though	generaltalk.confirmation.no	Editorial
no thank you very much	generaltalk.confirmation.no	Editorial
no thanks not right now	generaltalk.confirmation.no	Editorial
no forget	generaltalk.confirmation.no	Editorial
wait a second	generaltalk.dialog.hold_on	Editorial
could you wait	generaltalk.dialog.hold_on	Editorial
wait please	generaltalk.dialog.hold_on	Editorial
hold on	generaltalk.dialog.hold_on	Editorial
wait	generaltalk.dialog.hold_on	Editorial
oh wait	generaltalk.dialog.hold_on	Editorial
wait hold on	generaltalk.dialog.hold_on	Editorial
don't rush	generaltalk.dialog.hold_on	Editorial
wanna hug	generaltalk.dialog.hug	Editorial
hug you	generaltalk.dialog.hug	Editorial
do you want a hug	generaltalk.dialog.hug	Editorial
may I hug you	generaltalk.dialog.hug	Editorial
could you give me a hug	generaltalk.dialog.hug	Editorial
I want a hug	generaltalk.dialog.hug	Editorial
hug	generaltalk.dialog.hug	Editorial
hug me	generaltalk.dialog.hug	Editorial
hugged	generaltalk.dialog.hug	Editorial
you hugged	generaltalk.dialog.hug	Editorial
hugging	generaltalk.dialog.hug	Editorial
hugging me	generaltalk.dialog.hug	Editorial
hugged me	generaltalk.dialog.hug	Editorial
want a hug	generaltalk.dialog.hug	Editorial
a hug	generaltalk.dialog.hug	Editorial
I don't care	generaltalk.dialog.i_do_not_care	Editorial
I shouldn't care about this	generaltalk.dialog.i_do_not_care	Editorial
whatever	generaltalk.dialog.i_do_not_care	Editorial
I do not care	generaltalk.dialog.i_do_not_care	Editorial
I don't care at all	generaltalk.dialog.i_do_not_care	Editorial
not caring	generaltalk.dialog.i_do_not_care	Editorial
not care at all	generaltalk.dialog.i_do_not_care	Editorial
don't care at all	generaltalk.dialog.i_do_not_care	Editorial
not caring at all	generaltalk.dialog.i_do_not_care	Editorial
excuse me	generaltalk.dialog.sorry	Editorial
apologise	generaltalk.dialog.sorry	Editorial
I apologize	generaltalk.dialog.sorry	Editorial
sorry	generaltalk.dialog.sorry	Editorial
I'm sorry	generaltalk.dialog.sorry	Editorial
I am so sorry	generaltalk.dialog.sorry	Editorial
my apologies	generaltalk.dialog.sorry	Editorial
apologies	generaltalk.dialog.sorry	Editorial
apologies to me	generaltalk.dialog.sorry	Editorial
apology	generaltalk.dialog.sorry	Editorial
excuse	generaltalk.dialog.sorry	Editorial
I beg your pardon	generaltalk.dialog.sorry	Editorial
pardon	generaltalk.dialog.sorry	Editorial
I said sorry	generaltalk.dialog.sorry	Editorial
I am really sorry	generaltalk.dialog.sorry	Editorial
forgive me	generaltalk.dialog.sorry	Editorial
sorry about that	generaltalk.dialog.sorry	Editorial
sorry about this	generaltalk.dialog.sorry	Editorial
really sorry	generaltalk.dialog.sorry	Editorial
very sorry	generaltalk.dialog.sorry	Editorial
ok sorry	generaltalk.dialog.sorry	Editorial
I want to say sorry	generaltalk.dialog.sorry	Editorial
alright I'm sorry	generaltalk.dialog.sorry	Editorial
okay I'm sorry	generaltalk.dialog.sorry	Editorial
what exactly do you mean	generaltalk.dialog.what_do_you_mean	Editorial
what do you mean	generaltalk.dialog.what_do_you_mean	Editorial
is that what you mean	generaltalk.dialog.what_do_you_mean	Editorial
what do you mean exactly	generaltalk.dialog.what_do_you_mean	Editorial
but what do you mean	generaltalk.dialog.what_do_you_mean	Editorial
that was wrong	generaltalk.dialog.wrong	Editorial
that's not what I asked	generaltalk.dialog.wrong	Editorial
that's wrong	generaltalk.dialog.wrong	Editorial
wrong	generaltalk.dialog.wrong	Editorial
it is not right	generaltalk.dialog.wrong	Editorial
that's not right	generaltalk.dialog.wrong	Editorial
it's wrong	generaltalk.dialog.wrong	Editorial
that is incorrect	generaltalk.dialog.wrong	Editorial
incorrect	generaltalk.dialog.wrong	Editorial
not correct	generaltalk.dialog.wrong	Editorial
you are wrong	generaltalk.dialog.wrong	Editorial
not right	generaltalk.dialog.wrong	Editorial
huh	generaltalk.emotions.ha_ha	Editorial
lol	generaltalk.emotions.ha_ha	Editorial
xd	generaltalk.emotions.ha_ha	Editorial
ha ha	generaltalk.emotions.ha_ha	Editorial
ahahah	generaltalk.emotions.ha_ha	Editorial
ahah lol	generaltalk.emotions.ha_ha	Editorial
laughing out loud	generaltalk.emotions.ha_ha	Editorial
LMAO	generaltalk.emotions.ha_ha	Editorial
that's funny	generaltalk.emotions.ha_ha	Editorial
ah	generaltalk.emotions.ha_ha	Editorial
ah ah ah	generaltalk.emotions.ha_ha	Editorial
ahah	generaltalk.emotions.ha_ha	Editorial
ahaha	generaltalk.emotions.ha_ha	Editorial
ahahaha	generaltalk.emotions.ha_ha	Editorial
ha	generaltalk.emotions.ha_ha	Editorial
ha ha ha	generaltalk.emotions.ha_ha	Editorial
ha ha ha ha	generaltalk.emotions.ha_ha	Editorial
hah	generaltalk.emotions.ha_ha	Editorial
haha	generaltalk.emotions.ha_ha	Editorial
haha funny	generaltalk.emotions.ha_ha	Editorial
haha haha haha	generaltalk.emotions.ha_ha	Editorial
haha that's funny	generaltalk.emotions.ha_ha	Editorial
