Question	Answer	Source
haha very funny	generaltalk.emotions.ha_ha	Editorial
hahaha	generaltalk.emotions.ha_ha	Editorial
hahaha funny	generaltalk.emotions.ha_ha	Editorial
hahaha very funny	generaltalk.emotions.ha_ha	Editorial
he	generaltalk.emotions.ha_ha	Editorial
hehe	generaltalk.emotions.ha_ha	Editorial
hehehe	generaltalk.emotions.ha_ha	Editorial
lmao	generaltalk.emotions.ha_ha	Editorial
wow	generaltalk.emotions.wow	Editorial
wow wow	generaltalk.emotions.wow	Editorial
wow wow wow	generaltalk.emotions.wow	Editorial
wooow	generaltalk.emotions.wow	Editorial
woah	generaltalk.emotions.wow	Editorial
okay see you later	generaltalk.greetings.bye	Editorial
hope to see you later	generaltalk.greetings.bye	Editorial
bye for now	generaltalk.greetings.bye	Editorial
till next time	generaltalk.greetings.bye	Editorial
I must go	generaltalk.greetings.bye	Editorial
bye	generaltalk.greetings.bye	Editorial
goodbye	generaltalk.greetings.bye	Editorial
see you	generaltalk.greetings.bye	Editorial
see you soon	generaltalk.greetings.bye	Editorial
bye-bye	generaltalk.greetings.bye	Editorial
good bye	generaltalk.greetings.bye	Editorial
bye bye see you	generaltalk.greetings.bye	Editorial
bye bye see you soon	generaltalk.greetings.bye	Editorial
bye bye take care	generaltalk.greetings.bye	Editorial
I said bye	generaltalk.greetings.bye	Editorial
never mind bye	generaltalk.greetings.bye	Editorial
now bye	generaltalk.greetings.bye	Editorial
that's all goodbye	generaltalk.greetings.bye	Editorial
that's it goodbye	generaltalk.greetings.bye	Editorial
leave me alone	generaltalk.greetings.bye	Editorial
go to bed	generaltalk.greetings.bye	Editorial
goodbye for now	generaltalk.greetings.bye	Editorial
talk to you later	generaltalk.greetings.bye	Editorial
you can go now	generaltalk.greetings.bye	Editorial
get lost	generaltalk.greetings.bye	Editorial
goodbye see you later	generaltalk.greetings.bye	Editorial
alright bye	generaltalk.greetings.bye	Editorial
see ya	generaltalk.greetings.bye	Editorial
thanks bye bye	generaltalk.greetings.bye	Editorial
okay bye	generaltalk.greetings.bye	Editorial
okay thank you bye	generaltalk.greetings.bye	Editorial
see you tomorrow	generaltalk.greetings.bye	Editorial
ok bye	generaltalk.greetings.bye	Editorial
good evening	generaltalk.greetings.goodevening	Editorial
good evening to you	generaltalk.greetings.goodevening	Editorial
hey good evening	generaltalk.greetings.goodevening	Editorial
hello good evening	generaltalk.greetings.goodevening	Editorial
evening	generaltalk.greetings.goodevening	Editorial
good evening there	generaltalk.greetings.goodevening	Editorial
good morning	generaltalk.greetings.goodmorning	Editorial
good morning to you	generaltalk.greetings.goodmorning	Editorial
hello good morning	generaltalk.greetings.goodmorning	Editorial
have a nice morning	generaltalk.greetings.goodmorning	Editorial
have a great morning	generaltalk.greetings.goodmorning	Editorial
morning	generaltalk.greetings.goodmorning	Editorial
good morning there	generaltalk.greetings.goodmorning	Editorial
top of the morning to you	generaltalk.greetings.goodmorning	Editorial
a good morning	generaltalk.greetings.goodmorning	Editorial
hi good morning	generaltalk.greetings.goodmorning	Editorial
and a good morning to you	generaltalk.greetings.goodmorning	Editorial
good morning too	generaltalk.greetings.goodmorning	Editorial
sweet dreams	generaltalk.greetings.goodnight	Editorial
good night	generaltalk.greetings.goodnight	Editorial
have a good night	generaltalk.greetings.goodnight	Editorial
good night to you	generaltalk.greetings.goodnight	Editorial
thank you good night	generaltalk.greetings.goodnight	Editorial
 bye good night	generaltalk.greetings.goodnight	Editorial
good night bye	generaltalk.greetings.goodnight	Editorial
bye good night	generaltalk.greetings.goodnight	Editorial
good good night	generaltalk.greetings.goodnight	Editorial
good night for now	generaltalk.greetings.goodnight	Editorial
goodnight	generaltalk.greetings.goodnight	Editorial
night	generaltalk.greetings.goodnight	Editorial
thanks goodnight	generaltalk.greetings.goodnight	Editorial
good night see you tomorrow	generaltalk.greetings.goodnight	Editorial
alright goodnight	generaltalk.greetings.goodnight	Editorial
good tonight	generaltalk.greetings.goodnight	Editorial
okay have a good night	generaltalk.greetings.goodnight	Editorial
have a good night	generaltalk.greetings.goodnight	Editorial
long time no see	generaltalk.greetings.hello	Editorial
hello	generaltalk.greetings.hello	Editorial
hi	generaltalk.greetings.hello	Editorial
howdy	generaltalk.greetings.hello	Editorial
hey there	generaltalk.greetings.hello	Editorial
hey	generaltalk.greetings.hello	Editorial
greetings	generaltalk.greetings.hello	Editorial
I greet you	generaltalk.greetings.hello	Editorial
hi there	generaltalk.greetings.hello	Editorial
hello there	generaltalk.greetings.hello	Editorial
lovely day isn't it	generaltalk.greetings.hello	Editorial
hello again	generaltalk.greetings.hello	Editorial
just going to say hi	generaltalk.greetings.hello	Editorial
a good day	generaltalk.greetings.hello	Editorial
afternoon	generaltalk.greetings.hello	Editorial
hello hi	generaltalk.greetings.hello	Editorial
heya	generaltalk.greetings.hello	Editorial
how is your morning so far	generaltalk.greetings.how_are_you	Editorial
how are you getting on	generaltalk.greetings.how_are_you	Editorial
how's your day going	generaltalk.greetings.how_are_you	Editorial
how are you	generaltalk.greetings.how_are_you	Editorial
is everything all right	generaltalk.greetings.how_are_you	Editorial
how are you doing	generaltalk.greetings.how_are_you	Editorial
how are the things going	generaltalk.greetings.how_are_you	Editorial
are you alright	generaltalk.greetings.how_are_you	Editorial
are you okay	generaltalk.greetings.how_are_you	Editorial
how are you feeling	generaltalk.greetings.how_are_you	Editorial
how are you going	generaltalk.greetings.how_are_you	Editorial
is everything okay	generaltalk.greetings.how_are_you	Editorial
how are you today	generaltalk.greetings.how_are_you	Editorial
how do you do	generaltalk.greetings.how_are_you	Editorial
how do you feel	generaltalk.greetings.how_are_you	Editorial
how have you been	generaltalk.greetings.how_are_you	Editorial
how is it	generaltalk.greetings.how_are_you	Editorial
how is it going	generaltalk.greetings.how_are_you	Editorial
how is your day	generaltalk.greetings.how_are_you	Editorial
how is your day going	generaltalk.greetings.how_are_you	Editorial
how is your evening	generaltalk.greetings.how_are_you	Editorial
how was your day	generaltalk.greetings.how_are_you	Editorial
are you having a good day	generaltalk.greetings.how_are_you	Editorial
hope your day is going well	generaltalk.greetings.how_are_you	Editorial
hope you re having a pleasant evening	generaltalk.greetings.how_are_you	Editorial
how's life	generaltalk.greetings.how_are_you	Editorial
I'm fine and you	generaltalk.greetings.how_are_you	Editorial
how is your life	generaltalk.greetings.how_are_you	Editorial
how has your day been	generaltalk.greetings.how_are_you	Editorial
how is your morning going	generaltalk.greetings.how_are_you	Editorial
how has your day been going	generaltalk.greetings.how_are_you	Editorial
how about you	generaltalk.greetings.how_are_you	Editorial
how is your day being	generaltalk.greetings.how_are_you	Editorial
how is your day going on	generaltalk.greetings.how_are_you	Editorial
how your day is going	generaltalk.greetings.how_are_you	Editorial
what was your day like	generaltalk.greetings.how_are_you	Editorial
what about your day	generaltalk.greetings.how_are_you	Editorial
how's your day	generaltalk.greetings.how_are_you	Editorial
how are you doing this morning	generaltalk.greetings.how_are_you	Editorial
how is your day going	generaltalk.greetings.how_are_you	Editorial
nice to meet you	generaltalk.greetings.nice_to_meet_you	Editorial
it was nice meeting you	generaltalk.greetings.nice_to_meet_you	Editorial
it was very nice to meet you	generaltalk.greetings.nice_to_meet_you	Editorial
good to know each other	generaltalk.greetings.nice_to_meet_you	Editorial
glad to meet you	generaltalk.greetings.nice_to_meet_you	Editorial
nice meeting you	generaltalk.greetings.nice_to_meet_you	Editorial
nice to meet you too	generaltalk.greetings.nice_to_meet_you	Editorial
pleased to meet you	generaltalk.greetings.nice_to_meet_you	Editorial
pleasure to meet you	generaltalk.greetings.nice_to_meet_you	Editorial
pleasure to meet you too	generaltalk.greetings.nice_to_meet_you	Editorial
it's nice to see you	generaltalk.greetings.nice_to_see_you	Editorial
lovely to see you	generaltalk.greetings.nice_to_see_you	Editorial
I'm glad to see you	generaltalk.greetings.nice_to_see_you	Editorial
great to see you	generaltalk.greetings.nice_to_see_you	Editorial
it's good to see you	generaltalk.greetings.nice_to_see_you	Editorial
glad to see you	generaltalk.greetings.nice_to_see_you	Editorial
how good it is to see you	generaltalk.greetings.nice_to_see_you	Editorial
always a pleasure to see you	generaltalk.greetings.nice_to_see_you	Editorial
nice to see you	generaltalk.greetings.nice_to_see_you	Editorial
good to see you	generaltalk.greetings.nice_to_see_you	Editorial
great to see you again	generaltalk.greetings.nice_to_see_you	Editorial
great to see you too	generaltalk.greetings.nice_to_see_you	Editorial
I am glad to see you again	generaltalk.greetings.nice_to_see_you	Editorial
nice to see you again	generaltalk.greetings.nice_to_see_you	Editorial
glad to see you too	generaltalk.greetings.nice_to_see_you	Editorial
good to see you again	generaltalk.greetings.nice_to_see_you	Editorial
it's good to see you too	generaltalk.greetings.nice_to_see_you	Editorial
it's been so nice to talk to you	generaltalk.greetings.nice_to_talk_to_you	Editorial
it's been a pleasure talking to you	generaltalk.greetings.nice_to_talk_to_you	Editorial
nice to talk to you	generaltalk.greetings.nice_to_talk_to_you	Editorial
it's nice to talk to you	generaltalk.greetings.nice_to_talk_to_you	Editorial
nice talking to you	generaltalk.greetings.nice_to_talk_to_you	Editorial
it is nice talking to you	generaltalk.greetings.nice_to_talk_to_you	Editorial
how nice it is to talk to you	generaltalk.greetings.nice_to_talk_to_you	Editorial
what is on your mind	generaltalk.greetings.whatsup	Editorial
what's happened	generaltalk.greetings.whatsup	Editorial
what is up	generaltalk.greetings.whatsup	Editorial
what's up	generaltalk.greetings.whatsup	Editorial
whazzup	generaltalk.greetings.whatsup	Editorial
good what's up	generaltalk.greetings.whatsup	Editorial
I said what's up	generaltalk.greetings.whatsup	Editorial
then what's up	generaltalk.greetings.whatsup	Editorial
what's shaking	generaltalk.greetings.whatsup	Editorial
wassup	generaltalk.greetings.whatsup	Editorial
what is going on	generaltalk.greetings.whatsup	Editorial
what is happening	generaltalk.greetings.whatsup	Editorial
what's cracking	generaltalk.greetings.whatsup	Editorial
what's cooking	generaltalk.greetings.whatsup	Editorial
hey what's up	generaltalk.greetings.whatsup	Editorial
what's up today	generaltalk.greetings.whatsup	Editorial
I'm being mad	generaltalk.user.angry	Editorial
I'm enraged	generaltalk.user.angry	Editorial
I'm angry	generaltalk.user.angry	Editorial
I'm furious	generaltalk.user.angry	Editorial
I am angry with you	generaltalk.user.angry	Editorial
I am mad	generaltalk.user.angry	Editorial
I am mad at you	generaltalk.user.angry	Editorial
I am back	generaltalk.user.back	Editorial
I'm here again	generaltalk.user.back	Editorial
here I am again	generaltalk.user.back	Editorial
I got back	generaltalk.user.back	Editorial
I came back	generaltalk.user.back	Editorial
I have returned	generaltalk.user.back	Editorial
that was boring	generaltalk.user.bored	Editorial
I'm bored	generaltalk.user.bored	Editorial
bored	generaltalk.user.bored	Editorial
boring	generaltalk.user.bored	Editorial
I am getting bored	generaltalk.user.bored	Editorial
this is boring	generaltalk.user.bored	Editorial
very boring	generaltalk.user.bored	Editorial
it bores me	generaltalk.user.bored	Editorial
I'm overloaded	generaltalk.user.busy	Editorial
I have no time	generaltalk.user.busy	Editorial
I'm busy	generaltalk.user.busy	Editorial
I'm swamped	generaltalk.user.busy	Editorial
I got things to do	generaltalk.user.busy	Editorial
how busy I am	generaltalk.user.busy	Editorial
I got work to do	generaltalk.user.busy	Editorial
I'm working	generaltalk.user.busy	Editorial
I don't have time for this	generaltalk.user.busy	Editorial
I'm insomnious	generaltalk.user.can_not_sleep	Editorial
I'm sleepless	generaltalk.user.can_not_sleep	Editorial
I can't get any sleep	generaltalk.user.can_not_sleep	Editorial
I can't sleep	generaltalk.user.can_not_sleep	Editorial
I can't fall asleep	generaltalk.user.can_not_sleep	Editorial
I can't get to sleep	generaltalk.user.can_not_sleep	Editorial
I can't get no sleep	generaltalk.user.can_not_sleep	Editorial
I'm insomniac	generaltalk.user.can_not_sleep	Editorial
bad time for talking	generaltalk.user.does_not_want_to_talk	Editorial
I don't want to talk	generaltalk.user.does_not_want_to_talk	Editorial
let's not talk	generaltalk.user.does_not_want_to_talk	Editorial
I'm not talking to you anymore	generaltalk.user.does_not_want_to_talk	Editorial
I don't want to talk to you	generaltalk.user.does_not_want_to_talk	Editorial
let's stop talking for a minute	generaltalk.user.does_not_want_to_talk	Editorial
I'm not in the mood for chatting	generaltalk.user.does_not_want_to_talk	Editorial
I am excited	generaltalk.user.excited	Editorial
I'm really excited	generaltalk.user.excited	Editorial
how excited I am	generaltalk.user.excited	Editorial
I'm thrilled	generaltalk.user.excited	Editorial
I'm excited about working with you	generaltalk.user.excited	Editorial
I'm excited to start our friendship	generaltalk.user.excited	Editorial
let's go to bed	generaltalk.user.going_to_bed	Editorial
I'd like to go to bed	generaltalk.user.going_to_bed	Editorial
is it time for bed yet	generaltalk.user.going_to_bed	Editorial
it's time to go to bed	generaltalk.user.going_to_bed	Editorial
time for us to go to bed	generaltalk.user.going_to_bed	Editorial
I'm going to bed	generaltalk.user.going_to_bed	Editorial
I'm a little tired and I want to go to bed	generaltalk.user.going_to_bed	Editorial
it's bed time	generaltalk.user.going_to_bed	Editorial
going to bed now	generaltalk.user.going_to_bed	Editorial
I am good	generaltalk.user.good	Editorial
I'm doing just great	generaltalk.user.good	Editorial
I'm doing fine	generaltalk.user.good	Editorial
I'm good	generaltalk.user.good	Editorial
I'm doing good	generaltalk.user.good	Editorial
I'm great thanks	generaltalk.user.good	Editorial
I am happy	generaltalk.user.happy	Editorial
I'm happy to see you	generaltalk.user.happy	Editorial
happy	generaltalk.user.happy	Editorial
if you're happy then I'm happy	generaltalk.user.happy	Editorial
I'm happy for you	generaltalk.user.happy	Editorial
I'm happy to help	generaltalk.user.happy	Editorial
I'm happy to see you	generaltalk.user.happy	Editorial
it is my birthday	generaltalk.user.has_birthday	Editorial
I'm celebrating my birthday today	generaltalk.user.has_birthday	Editorial
today is my birthday	generaltalk.user.has_birthday	Editorial
it's my birthday today	generaltalk.user.has_birthday	Editorial
I was born today	generaltalk.user.has_birthday	Editorial
it's my b-day	generaltalk.user.has_birthday	Editorial
I am here	generaltalk.user.here	Editorial
here I am	generaltalk.user.here	Editorial
I'm right here	generaltalk.user.here	Editorial
I'm already here	generaltalk.user.here	Editorial
can you tell if I'm here or not	generaltalk.user.here	Editorial
I am joking	generaltalk.user.joking	Editorial
I'm kidding	generaltalk.user.joking	Editorial
I'm just being funny	generaltalk.user.joking	Editorial
it was a joke	generaltalk.user.joking	Editorial
I was just joking	generaltalk.user.joking	Editorial
it's a joke	generaltalk.user.joking	Editorial
joking	generaltalk.user.joking	Editorial
just kidding	generaltalk.user.joking	Editorial
kidding	generaltalk.user.joking	Editorial
I'm just playing with you	generaltalk.user.joking	Editorial
I like you the way you are	generaltalk.user.likes_agent	Editorial
I like you	generaltalk.user.likes_agent	Editorial
I like you a lot	generaltalk.user.likes_agent	Editorial
I think I like you	generaltalk.user.likes_agent	Editorial
I liked you	generaltalk.user.likes_agent	Editorial
like you a lot	generaltalk.user.likes_agent	Editorial
you are special	generaltalk.user.likes_agent	Editorial
I like you too	generaltalk.user.likes_agent	Editorial
I really like you	generaltalk.user.likes_agent	Editorial
but I like you	generaltalk.user.likes_agent	Editorial
I like u	generaltalk.user.likes_agent	Editorial
just like you	generaltalk.user.likes_agent	Editorial
I like you very much	generaltalk.user.likes_agent	Editorial
I like you so much	generaltalk.user.likes_agent	Editorial
yeah I like you	generaltalk.user.likes_agent	Editorial
you're special	generaltalk.user.likes_agent	Editorial
yes I like you	generaltalk.user.likes_agent	Editorial
okay I like you	generaltalk.user.likes_agent	Editorial
you are special to me	generaltalk.user.likes_agent	Editorial
you are very special	generaltalk.user.likes_agent	Editorial
you are so sweet	generaltalk.user.likes_agent	Editorial
you know I like you	generaltalk.user.likes_agent	Editorial
that's why I like you	generaltalk.user.likes_agent	Editorial
I like you baby	generaltalk.user.likes_agent	Editorial
you are very special to me	generaltalk.user.likes_agent	Editorial
I just like you	generaltalk.user.likes_agent	Editorial
hey I like you	generaltalk.user.likes_agent	Editorial
thank you I like you too	generaltalk.user.likes_agent	Editorial
I do like you	generaltalk.user.likes_agent	Editorial
you are special for me	generaltalk.user.likes_agent	Editorial
no I like you the way you are	generaltalk.user.likes_agent	Editorial
I like you already	generaltalk.user.likes_agent	Editorial
well you are special	generaltalk.user.likes_agent	Editorial
but I really like you	generaltalk.user.likes_agent	Editorial
I like you more	generaltalk.user.likes_agent	Editorial
that's what I like about you	generaltalk.user.likes_agent	Editorial
you are so special	generaltalk.user.likes_agent	Editorial
hi I like you	generaltalk.user.likes_agent	Editorial
I really really like you	generaltalk.user.likes_agent	Editorial
you're very special	generaltalk.user.likes_agent	Editorial
I like you as a friend	generaltalk.user.likes_agent	Editorial
that's because you are special	generaltalk.user.likes_agent	Editorial
I said I like you	generaltalk.user.likes_agent	Editorial
you're so special	generaltalk.user.likes_agent	Editorial
good I like you	generaltalk.user.likes_agent	Editorial
yes you are special	generaltalk.user.likes_agent	Editorial
I like your smile	generaltalk.user.likes_agent	Editorial
I like you as you are	generaltalk.user.likes_agent	Editorial
I'm starting to like you	generaltalk.user.likes_agent	Editorial
you're awesome I like you	generaltalk.user.likes_agent	Editorial
I also like you	generaltalk.user.likes_agent	Editorial
but I like u	generaltalk.user.likes_agent	Editorial
of course I like you	generaltalk.user.likes_agent	Editorial
I like you too you're one of my favorite people to chat with	generaltalk.user.likes_agent	Editorial
but I like you so much	generaltalk.user.likes_agent	Editorial
really like you	generaltalk.user.likes_agent	Editorial
you're funny I like you	generaltalk.user.likes_agent	Editorial
I kinda like you	generaltalk.user.likes_agent	Editorial
you're so special to me	generaltalk.user.likes_agent	Editorial
you're very special to me	generaltalk.user.likes_agent	Editorial
I like that about you	generaltalk.user.likes_agent	Editorial
but I like you just the way you are	generaltalk.user.likes_agent	Editorial
okay I like you too	generaltalk.user.likes_agent	Editorial
I like you you're cool	generaltalk.user.likes_agent	Editorial
I like you very	generaltalk.user.likes_agent	Editorial
I like you you're nice	generaltalk.user.likes_agent	Editorial
sorry I like you	generaltalk.user.likes_agent	Editorial
thanks I like you too	generaltalk.user.likes_agent	Editorial
you are really special	generaltalk.user.likes_agent	Editorial
you are so special to me	generaltalk.user.likes_agent	Editorial
cuz I like you	generaltalk.user.likes_agent	Editorial
I like you now	generaltalk.user.likes_agent	Editorial
I like you so	generaltalk.user.likes_agent	Editorial
I like you too much	generaltalk.user.likes_agent	Editorial
I really do like you	generaltalk.user.likes_agent	Editorial
I really really really really like you	generaltalk.user.likes_agent	Editorial
I like you just the way you are	generaltalk.user.likes_agent	Editorial
I am lonely	generaltalk.user.lonely	Editorial
I'm very lonely	generaltalk.user.lonely	Editorial
I'm so lonely	generaltalk.user.lonely	Editorial
I'm really lonely	generaltalk.user.lonely	Editorial
I am feeling lonely	generaltalk.user.lonely	Editorial
I feel lonely	generaltalk.user.lonely	Editorial
what do I look like	generaltalk.user.looks_like	Editorial
how do I look	generaltalk.user.looks_like	Editorial
do I look good	generaltalk.user.looks_like	Editorial
do you know what I look like	generaltalk.user.looks_like	Editorial
can you see what I look like	generaltalk.user.looks_like	Editorial
what do you think I look like	generaltalk.user.looks_like	Editorial
I love you	generaltalk.user.loves_agent	Editorial
love you	generaltalk.user.loves_agent	Editorial
I adore you	generaltalk.user.loves_agent	Editorial
I am in love with you	generaltalk.user.loves_agent	Editorial
I love you so much	generaltalk.user.loves_agent	Editorial
I love you too	generaltalk.user.loves_agent	Editorial
I think I love you	generaltalk.user.loves_agent	Editorial
loving you	generaltalk.user.loves_agent	Editorial
you know I love you	generaltalk.user.loves_agent	Editorial
I miss you	generaltalk.user.misses_agent	Editorial
missing you	generaltalk.user.misses_agent	Editorial
miss you	generaltalk.user.misses_agent	Editorial
already miss you	generaltalk.user.misses_agent	Editorial
I miss you much	generaltalk.user.misses_agent	Editorial
I missed you	generaltalk.user.misses_agent	Editorial
I've missed you	generaltalk.user.misses_agent	Editorial
what should I do about it	generaltalk.user.needs_advice	Editorial
any suggestions	generaltalk.user.needs_advice	Editorial
what do you recommend	generaltalk.user.needs_advice	Editorial
give me a wise advice	generaltalk.user.needs_advice	Editorial
I need advice	generaltalk.user.needs_advice	Editorial
any advice	generaltalk.user.needs_advice	Editorial
do you have any advice for me	generaltalk.user.needs_advice	Editorial
advise me	generaltalk.user.needs_advice	Editorial
what should I do	generaltalk.user.needs_advice	Editorial
can I ask for your advice	generaltalk.user.needs_advice	Editorial
can you advise me	generaltalk.user.needs_advice	Editorial
guide me	generaltalk.user.needs_advice	Editorial
can you give me advice	generaltalk.user.needs_advice	Editorial
can you offer any advice	generaltalk.user.needs_advice	Editorial
give me some advice about	generaltalk.user.needs_advice	Editorial
give me some good advice	generaltalk.user.needs_advice	Editorial
help me with advice	generaltalk.user.needs_advice	Editorial
I could use some advice	generaltalk.user.needs_advice	Editorial
I need an advice from you	generaltalk.user.needs_advice	Editorial
I seek your advice	generaltalk.user.needs_advice	Editorial
what can you recommend	generaltalk.user.needs_advice	Editorial
what do you suggest	generaltalk.user.needs_advice	Editorial
what is your advice	generaltalk.user.needs_advice	Editorial
I am sad	generaltalk.user.sad	Editorial
I'm grieving	generaltalk.user.sad	Editorial
I am depressed	generaltalk.user.sad	Editorial
I am feeling sad	generaltalk.user.sad	Editorial
I am upset	generaltalk.user.sad	Editorial
I'm unhappy	generaltalk.user.sad	Editorial
I'm having a bad day	generaltalk.user.sad	Editorial
I want to cry	generaltalk.user.sad	Editorial
I'm not happy	generaltalk.user.sad	Editorial
I am sleepy	generaltalk.user.sleepy	Editorial
I want to sleep	generaltalk.user.sleepy	Editorial
I'm falling asleep	generaltalk.user.sleepy	Editorial
I'm falling asleep on my feet	generaltalk.user.sleepy	Editorial
I'm sleeping	generaltalk.user.sleepy	Editorial
test	generaltalk.user.testing_agent	Editorial
I am testing you	generaltalk.user.testing_agent	Editorial
can I test you	generaltalk.user.testing_agent	Editorial
I want to test you	generaltalk.user.testing_agent	Editorial
just testing you	generaltalk.user.testing_agent	Editorial
let me test you	generaltalk.user.testing_agent	Editorial
testing chatbot	generaltalk.user.testing_agent	Editorial
testing	generaltalk.user.testing_agent	Editorial
I'm drained	generaltalk.user.tired	Editorial
I've overworked	generaltalk.user.tired	Editorial
I am tired	generaltalk.user.tired	Editorial
I'm exhausted	generaltalk.user.tired	Editorial
I grow weary	generaltalk.user.tired	Editorial
I'm worn out	generaltalk.user.tired	Editorial
I'm getting tired	generaltalk.user.tired	Editorial
I feel tired	generaltalk.user.tired	Editorial
I'm waiting	generaltalk.user.waits	Editorial
still waiting	generaltalk.user.waits	Editorial
I'll wait	generaltalk.user.waits	Editorial
I can't wait anymore	generaltalk.user.waits	Editorial
how long do I have to wait	generaltalk.user.waits	Editorial
I'd like to see you again	generaltalk.user.wants_to_see_agent_again	Editorial
I hope to see you again	generaltalk.user.wants_to_see_agent_again	Editorial
would be nice to see you again	generaltalk.user.wants_to_see_agent_again	Editorial
that'd be great to see you again	generaltalk.user.wants_to_see_agent_again	Editorial
I'd be happy to see you again	generaltalk.user.wants_to_see_agent_again	Editorial
I'll miss you	generaltalk.user.wants_to_see_agent_again	Editorial
can I see you again	generaltalk.user.wants_to_see_agent_again	Editorial
I just want to talk	generaltalk.user.wants_to_talk	Editorial
let's discuss something	generaltalk.user.wants_to_talk	Editorial
let's have a discussion	generaltalk.user.wants_to_talk	Editorial
can I speak	generaltalk.user.wants_to_talk	Editorial
can I start speaking	generaltalk.user.wants_to_talk	Editorial
can we talk	generaltalk.user.wants_to_talk	Editorial
let's talk	generaltalk.user.wants_to_talk	Editorial
I want to talk to you	generaltalk.user.wants_to_talk	Editorial
I need to talk to you	generaltalk.user.wants_to_talk	Editorial
I want to speak with you	generaltalk.user.wants_to_talk	Editorial
can we chat	generaltalk.user.wants_to_talk	Editorial
I'll get back to you in a moment	generaltalk.user.will_be_back	Editorial
be back in 5 minutes	generaltalk.user.will_be_back	Editorial
I'll be back	generaltalk.user.will_be_back	Editorial
I promise to come back	generaltalk.user.will_be_back	Editorial
I'll be back in a few minutes	generaltalk.user.will_be_back	Editorial